symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,TOTAL_TRADES,TOTAL_NET_PNL,TOTAL_GROSS_PNL,TOTAL_WIN_RATE,IS_TRADES,IS_WIN_RATE,IS_NET_PNL,IS_GROSS_PNL,OOS_TRADES,OOS_WIN_RATE,OOS_NET_PNL,OOS_GROSS_PNL,Z_ENTRY,Z_STOP,Z_EXIT
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-7362.023575050264,2558.9999999997367,30.851063829787233,150,30.0,-6358.665458776274,1563.199999999727,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,12.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-7883.0573869867785,2883.100000000225,26.96078431372549,162,25.308641975308642,-6689.579084536801,1866.100000000202,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,12.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9591.074027435052,-405.900000000054,32.758620689655174,139,30.215827338129497,-9822.608874463032,-2478.9000000000397,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,12.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9520.481081520253,401.9999999997485,30.851063829787233,150,30.0,-8517.12296524626,-593.8000000002608,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,12.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10113.463477005762,654.2000000002383,26.96078431372549,162,25.308641975308642,-8919.985174555784,-362.7999999997844,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,12.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9591.074027435052,-405.900000000054,32.758620689655174,139,30.215827338129497,-9822.608874463032,-2478.9000000000397,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,13.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9520.481081520253,401.9999999997485,30.851063829787233,150,30.0,-8517.12296524626,-593.8000000002608,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,13.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10113.463477005762,654.2000000002383,26.96078431372549,162,25.308641975308642,-8919.985174555784,-362.7999999997844,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,13.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9591.074027435052,-405.900000000054,32.758620689655174,139,30.215827338129497,-9822.608874463032,-2478.9000000000397,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,13.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9520.481081520253,401.9999999997485,30.851063829787233,150,30.0,-8517.12296524626,-593.8000000002608,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,13.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10113.463477005762,654.2000000002383,26.96078431372549,162,25.308641975308642,-8919.985174555784,-362.7999999997844,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,13.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9591.074027435052,-405.900000000054,32.758620689655174,139,30.215827338129497,-9822.608874463032,-2478.9000000000397,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,14.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9520.481081520253,401.9999999997485,30.851063829787233,150,30.0,-8517.12296524626,-593.8000000002608,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,14.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10113.463477005762,654.2000000002383,26.96078431372549,162,25.308641975308642,-8919.985174555784,-362.7999999997844,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,14.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9591.074027435052,-405.900000000054,32.758620689655174,139,30.215827338129497,-9822.608874463032,-2478.9000000000397,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,14.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9520.481081520253,401.9999999997485,30.851063829787233,150,30.0,-8517.12296524626,-593.8000000002608,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,14.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10113.463477005762,654.2000000002383,26.96078431372549,162,25.308641975308642,-8919.985174555784,-362.7999999997844,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,14.5,1.0
